Time,ECG
15869,715.64
15870,705.93
15871,683.02
15872,657.41
15873,624.79
15874,590.82
15875,564.67
15876,555.23
15877,546.6
15878,537.71
15879,520.45
15880,494.3
15881,451.44
15882,401.29
15883,351.69
15884,301.54
15885,253.01
15886,211.77
15887,172.41
15888,137.36
15889,99.616
15890,74.005
15891,42.192
15892,17.929
16302,1.2142
16304,2.5621
16305,7.4148
16307,1.2142
16313,1.2142
16328,7.4148
16329,8.7628
16330,8.4932
16331,8.4932
16332,8.4932
16333,8.2236
16334,16.311
16335,16.581
16336,16.581
16337,24.669
16338,24.399
16339,24.399
16340,24.669
16341,23.59
16342,15.772
16343,16.581
16344,16.042
16345,16.581
16346,14.424
16347,7.4148
16348,8.4932
16349,8.2236
16350,8.2236
16351,8.2236
16352,8.2236
16353,8.2236
16354,8.4932
16355,7.1452
16356,13.346
16357,11.728
16358,12.807
16359,11.189
16360,13.076
16361,10.92
16362,12.807
16363,15.772
16364,22.782
16365,17.929
16366,21.703
16367,24.669
16368,23.86
16369,23.86
16370,24.669
16371,16.851
16372,15.772
16373,16.042
16374,15.772
16375,15.772
16376,16.042
16377,7.6844
16378,15.772
16379,7.4148
16380,7.6844
16381,8.4932
16382,15.503
16383,7.1452
16384,7.6844
16385,8.7628
16386,16.581
